COUNTRY,CITY,VALUE
IN,Kolkata,208
US,Madison,35
IN,Bengaluru,132
US,Dallas,27
US,Little Rock,43
US,San Jose,30
US,Albuquerque,15
US,Seattle,30
US,Staten Island,45
US,Providence,38
US,Phoenix,36
US,San Francisco,25
US,Charlotte,34
US,Raleigh,42
IN,Bhopal,74
US,Oakland,30
US,Brooklyn,33
US,Sacramento,21
IN,Ghāziābād,179
US,Memphis,40
US,Detroit,45
IN,Lucknow,157
IN,Chandigarh,113
US,Boston,42
IN,Hāpur,173
US,Salem,30
IN,Delhi,167
US,Richmond,23
US,Atlanta,31
US,Saint Paul,65
US,Indianapolis,47
US,Springfield,59
US,Jackson,39
US,Manhattan,35
US,Salt Lake City,11
US,Dallas,33
US,Madison,38
US,Fort Worth,33
IN,Kolkata,147
US,Oklahoma City,66
IN,Bengaluru,148
US,Houston,38
US,Denver,34
US,Philadelphia,35
US,Omaha,63
IN,Chennai,99
IN,Muzaffarnagar,167
IN,Hyderabad,137
US,Portland,20
US,San Antonio,53
IN,Nashik,101
US,Boise,21
IN,Visakhapatnam,48
US,Fresno,25
US,Little Rock,35
US,Tucson,21
US,Miami,26
US,Chicago,53
US,Hartford,30
IN,Patna,137
IN,Gandhinagar,113
US,Baltimore,38
US,Washington D.C.,34
US,Nashville,31
IN,Thiruvananthapuram,92
IN,Mumbai,153
IN,Jaipur,107
US,Los Angeles,45
US,Columbia,26
US,Tallahassee,24
US,San Diego,30
US,Las Vegas,16
US,Jacksonville,42
US,Queens,34
US,Austin,52
US,Honolulu,13
US,Milwaukee,53
US,Columbus,52
US,El Paso,21
US,The Bronx,1
IN,Chandigarh,109
IN,Thiruvananthapuram,111
IN,Bengaluru,125
IN,Bhopal,99
IN,Kolkata,89
IN,Hāpur,134
IN,Gandhinagar,165
IN,Ghāziābād,107
IN,Jaipur,105
IN,Muzaffarnagar,158
IN,Patna,136
US,The Bronx,1
IN,Hyderabad,93
IN,Delhi,119
IN,Chennai,89
IN,Mumbai,81
IN,Visakhapatnam,115
IN,Nashik,130
IN,Lucknow,151
IN,New Delhi,129
US,Indianapolis,31
US,Las Vegas,21
US,Charlotte,21
US,Jacksonville,22
US,Miami,21
US,Omaha,21
US,Providence,13
US,Jackson,22
US,Denver,25
US,Oakland,34
US,El Paso,25
US,Phoenix,17
US,Dallas,32
US,Sacramento,21
US,Boston,21
US,Memphis,19
US,Oklahoma City,38
US,Fort Worth,24
US,Philadelphia,23
US,Saint Paul,25
US,Seattle,33
US,Chicago,29
US,San Diego,49
US,San Antonio,25
US,Houston,25
US,Atlanta,20
US,Manhattan,13
US,Washington D.C.,13
US,Columbus,21
US,San Jose,30
US,Springfield,23
US,Los Angeles,47
US,Little Rock,27
US,Detroit,32
US,Hartford,13
US,Brooklyn,15
US,Staten Island,19
US,Baltimore,11
US,Boise,13
US,Honolulu,21
US,Nashville,21
US,Austin,19
US,Madison,31
US,San Francisco,25
US,Raleigh,25
US,Tucson,25
US,Queens,15
US,Portland,30
US,Tallahassee,24
US,Albuquerque,33
US,Salem,35
US,Fresno,32
US,Salt Lake City,14
US,Milwaukee,31
US,Detroit,26
US,Providence,21
US,San Jose,42
US,The Bronx,6
US,Brooklyn,14
US,Staten Island,17
US,Baltimore,25
US,Omaha,25
US,Phoenix,17
US,Little Rock,22
US,Jacksonville,33
US,Charlotte,33
US,Miami,17
US,Oakland,50
US,El Paso,17
US,Los Angeles,46
US,Manhattan,18
US,Atlanta,59
US,Springfield,12
US,Saint Paul,13
US,Philadelphia,24
US,Houston,47
US,Milwaukee,21
US,Las Vegas,16
US,Indianapolis,33
US,San Antonio,59
US,Salt Lake City,17
US,Salem,18
US,Albuquerque,16
US,Denver,21
US,San Francisco,50
US,Hartford,27
US,Fresno,39
IN,Kolkata,55
US,Honolulu,13
US,Raleigh,42
IN,Lucknow,210
IN,Hyderabad,102
IN,Bhopal,114
US,Tucson,13
US,Boise,25
US,Tallahassee,36
US,Nashville,50
US,Portland,17
US,Queens,12
US,Austin,53
IN,Chandigarh,103
US,Madison,22
IN,New Delhi,176
IN,Delhi,180
IN,Patna,138
US,Jackson,35
IN,Jaipur,153
US,Memphis,40
IN,Mumbai,79
IN,Thiruvananthapuram,75
US,Sacramento,21
US,Dallas,55
US,Seattle,24
IN,Chennai,119
US,Boston,34
IN,Visakhapatnam,45
IN,Bengaluru,89
US,Oklahoma City,29
IN,Muzaffarnagar,165
IN,Hāpur,155
US,Fort Worth,58
IN,Ghāziābād,181
IN,Nashik,105
IN,Gandhinagar,184
US,Richmond,25
US,Washington D.C.,26
US,Columbus,45
US,San Diego,27
US,Chicago,27
US,Boston,34
US,Washington D.C.,46
US,Fresno,31
US,Providence,38
US,Richmond,46
US,Houston,33
US,Boise,25
US,Hartford,48
US,Springfield,33
US,Memphis,37
US,Charlotte,25
US,The Bronx,42
US,Atlanta,49
US,Raleigh,34
US,Portland,16
US,Brooklyn,48
US,Austin,30
US,Indianapolis,42
US,Oakland,38
US,Oklahoma City,25
US,Sacramento,25
US,Chicago,49
US,Honolulu,17
US,Jackson,52
US,Staten Island,50
US,Milwaukee,42
US,San Diego,34
US,San Antonio,34
US,Columbus,38
US,Tallahassee,43
US,Fort Worth,36
US,Queens,41
US,Miami,22
US,Denver,30
US,Jacksonville,38
US,Las Vegas,22
US,Philadelphia,56
US,Seattle,36
US,Tucson,25
US,Dallas,31
US,Nashville,49
US,Albuquerque,33
US,Phoenix,21
US,El Paso,42
US,Omaha,59
US,Baltimore,53
US,Saint Paul,34
US,Madison,70
US,Detroit,52
US,San Francisco,34
US,San Jose,42
US,Salem,15
US,Little Rock,53
US,Los Angeles,35
US,Salt Lake City,20
IN,Visakhapatnam,125
IN,Jaipur,146
IN,Lucknow,157
IN,Mumbai,50
IN,Chandigarh,143
IN,Nashik,81
IN,Chennai,91
IN,Hāpur,159
IN,Bhopal,97
IN,Ghāziābād,155
IN,Gandhinagar,116
IN,Delhi,169
IN,New Delhi,163
IN,Hyderabad,99
US,Manhattan,51
IN,Thiruvananthapuram,69
IN,Kolkata,98
IN,Bengaluru,76
IN,Muzaffarnagar,153
IN,Patna,145
IN,Kolkata,80
IN,Chennai,78
IN,Ghāziābād,152
IN,Hāpur,144
IN,Lucknow,150
IN,Delhi,153
IN,Bhopal,40
IN,Visakhapatnam,97
IN,Gandhinagar,92
IN,Chandigarh,149
IN,Mumbai,32
IN,Jaipur,94
IN,Hyderabad,61
IN,New Delhi,151
US,Honolulu,13
US,Austin,50
US,Boston,30
US,Richmond,25
US,Fresno,28
US,Boise,30
US,Milwaukee,26
US,Oklahoma City,42
US,Raleigh,38
US,Portland,23
US,Memphis,36
US,Jackson,49
US,Dallas,43
US,Seattle,22
US,Manhattan,14
US,Jacksonville,36
US,Miami,17
US,Las Vegas,16
US,San Antonio,51
US,San Diego,47
US,Columbus,40
US,Philadelphia,26
US,Columbia,51
US,Brooklyn,14
US,Houston,53
US,Indianapolis,29
US,Staten Island,21
US,Providence,29
US,Hartford,33
US,Washington D.C.,22
US,Oakland,34
US,Charlotte,50
US,Chicago,38
US,Sacramento,30
US,Atlanta,52
US,Omaha,30
US,Little Rock,49
US,El Paso,42
US,San Jose,34
US,Los Angeles,55
US,Detroit,41
US,The Bronx,10
US,Springfield,38
US,Baltimore,23
US,Phoenix,16
IN,Thiruvananthapuram,37
IN,Patna,130
IN,Bengaluru,71
IN,Shillong,92
US,Fort Worth,54
US,Albuquerque,20
US,Salt Lake City,20
US,Saint Paul,13
US,Queens,15
US,Tallahassee,39
US,Nashville,42
US,San Francisco,34
US,Madison,26
US,Salem,23
US,Denver,30
US,Tucson,17
IN,Nashik,55
IN,Lucknow,120
IN,Visakhapatnam,78
IN,Ghāziābād,87
IN,Delhi,91
IN,Chandigarh,81
IN,Hyderabad,41
IN,Thrissur,37
IN,New Delhi,89
IN,Hāpur,88
IN,Bhopal,13
IN,Jaipur,81
IN,Patna,123
IN,Gandhinagar,72
IN,Muzaffarnagar,81
IN,Thiruvananthapuram,52
IN,Chennai,83
US,Tallahassee,34
US,Queens,27
US,Nashville,38
US,Salem,10
US,Albuquerque,23
US,Madison,20
US,San Francisco,17
US,Raleigh,46
US,Chicago,26
US,Staten Island,34
US,Oakland,17
US,Tucson,17
US,Oklahoma City,54
US,Atlanta,54
US,Houston,30
US,Indianapolis,36
US,Saint Paul,21
US,Philadelphia,41
IN,Shillong,49
US,Columbus,32
US,San Antonio,43
US,Salt Lake City,23
US,San Diego,55
US,Las Vegas,24
US,Denver,30
IN,Bengaluru,55
US,Fort Worth,51
US,Springfield,25
US,Manhattan,34
IN,Kolkata,68
US,San Jose,21
US,The Bronx,30
US,Miami,13
US,Jacksonville,22
US,Seattle,17
US,Los Angeles,52
IN,Mumbai,35
US,Little Rock,46
US,Brooklyn,27
US,Detroit,28
US,Baltimore,46
US,Boston,30
US,Boise,50
US,Honolulu,21
US,Hartford,35
US,Portland,10
US,Richmond,33
US,Charlotte,53
US,Sacramento,21
US,Providence,34
US,Austin,44
US,Dallas,43
US,El Paso,25
US,Omaha,34
US,Phoenix,25
US,Milwaukee,24
US,Memphis,41
US,Washington D.C.,34
US,Jackson,37
US,Columbia,55
US,Fresno,38
US,Fresno,34
US,Washington D.C.,30
US,Hartford,21
US,Milwaukee,26
US,Jackson,42
US,Memphis,52
US,Indianapolis,35
US,Houston,44
US,Chicago,35
US,Atlanta,42
US,Tallahassee,31
US,Queens,11
US,Fort Worth,39
US,Tucson,17
US,Providence,25
US,Sacramento,17
US,Charlotte,34
US,Phoenix,21
US,Oakland,25
US,Omaha,34
US,Brooklyn,12
IN,Shillong,77
US,Springfield,42
US,Staten Island,16
US,The Bronx,14
US,San Jose,21
US,Honolulu,13
US,Boise,30
US,Austin,34
US,Richmond,32
US,Oklahoma City,32
US,Boston,25
US,Raleigh,34
US,Los Angeles,51
US,Dallas,40
US,El Paso,38
US,Detroit,31
US,Little Rock,52
US,Portland,14
US,Baltimore,25
US,Seattle,17
US,Manhattan,19
US,Las Vegas,19
US,Salem,12
US,San Francisco,17
US,Philadelphia,22
US,Columbus,31
US,San Diego,60
US,San Antonio,30
US,Denver,34
US,Madison,25
US,Nashville,48
US,Salt Lake City,22
US,Saint Paul,25
US,Albuquerque,25
IN,Thiruvananthapuram,38
IN,Jaipur,88
IN,Bhopal,70
IN,Ghāziābād,63
IN,Chennai,82
IN,Gandhinagar,79
IN,Nashik,57
IN,Muzaffarnagar,69
IN,Lucknow,124
IN,Patna,142
IN,Kolkata,97
IN,Bengaluru,56
IN,Delhi,76
IN,Chandigarh,100
IN,Mumbai,34
IN,Hyderabad,46
IN,Hāpur,58
IN,New Delhi,72
IN,Thrissur,38
US,Philadelphia,22
IN,Mumbai,38
US,San Diego,28
IN,Jaipur,89
US,Columbus,57
US,Fresno,18
IN,Visakhapatnam,79
US,El Paso,13
US,Miami,21
US,Washington D.C.,25
US,Dallas,28
IN,Chennai,76
IN,Nashik,58
US,Omaha,17
US,Springfield,34
US,The Bronx,23
US,Oakland,21
US,Charlotte,63
US,Sacramento,21
US,Milwaukee,32
US,Las Vegas,20
US,Jacksonville,32
IN,Lucknow,86
US,Atlanta,59
US,Brooklyn,26
IN,Ghāziābād,87
US,San Antonio,25
IN,Mumbai,38
US,Seattle,22
US,Hartford,28
US,Manhattan,34
US,Madison,34
IN,Muzaffarnagar,78
US,Albuquerque,18
US,Honolulu,17
IN,Patna,85
US,Saint Paul,13
US,San Francisco,17
US,Salem,20
US,Boise,17
US,Nashville,46
IN,Thiruvananthapuram,34
IN,Bengaluru,85
US,Portland,17
US,Austin,23
US,Denver,25
US,Salt Lake City,23
US,Fort Worth,29
US,Tallahassee,56
US,Queens,23
IN,Shillong,45
US,Detroit,51
US,San Jose,17
IN,Hāpur,80
US,Indianapolis,46
US,Houston,35
US,Los Angeles,43
US,Baltimore,34
US,Chicago,42
US,Little Rock,34
IN,Gandhinagar,66
US,Providence,17
US,Staten Island,27
US,Phoenix,23
IN,Kolkata,99
US,Oklahoma City,40
US,Memphis,42
US,Jackson,52
US,Raleigh,34
US,Boston,25
IN,Jaipur,89
IN,Visakhapatnam,79
IN,Nashik,58
IN,Shillong,45
IN,Muzaffarnagar,78
IN,Bengaluru,85
IN,Kolkata,99
IN,Thiruvananthapuram,34
IN,Patna,85
IN,Bhopal,54
IN,Thrissur,37
IN,New Delhi,91
IN,Gandhinagar,66
IN,Delhi,91
IN,Hyderabad,95
IN,Chandigarh,68
IN,Hāpur,80
IN,Chennai,76
US,Albuquerque,18
US,Miami,21
US,Salt Lake City,23
US,Manhattan,34
US,San Diego,28
US,Saint Paul,13
US,Columbus,57
US,Philadelphia,22
US,Springfield,34
US,Honolulu,17
US,Austin,23
IN,New Delhi,91
US,Boise,17
US,Fresno,18
US,Brooklyn,26
IN,Hyderabad,95
US,Jacksonville,32
US,Hartford,28
US,Staten Island,27
US,Washington D.C.,25
US,Milwaukee,32
US,Dallas,28
US,Seattle,22
US,Queens,23
US,Phoenix,23
US,Salem,20
US,El Paso,13
US,Tucson,13
US,Madison,34
US,San Francisco,17
US,San Antonio,25
US,Denver,25
US,Las Vegas,20
US,Baltimore,34
US,Nashville,46
US,Tucson,13
US,Omaha,17
IN,Lucknow,86
US,Jackson,52
US,Raleigh,34
US,Oklahoma City,40
US,Memphis,42
US,San Jose,17
IN,Ghāziābād,87
IN,Delhi,91
US,Indianapolis,46
IN,Chandigarh,68
US,Houston,35
US,Los Angeles,43
US,Fort Worth,29
US,Detroit,51
IN,Bhopal,54
US,Atlanta,59
US,Oakland,21
US,Providence,17
US,Chicago,42
US,Charlotte,63
US,Sacramento,21
US,The Bronx,23
US,Boston,25
IN,Thrissur,37
US,Portland,17
US,Tallahassee,56
US,Little Rock,34
US,Columbus,48
US,Oklahoma City,22
IN,Kolkata,184
US,Jackson,22
US,Richmond,12
US,Washington D.C.,14
IN,Patna,231
US,Portland,38
IN,Bengaluru,73
US,Memphis,31
US,Boise,50
US,Boston,21
IN,Shillong,91
US,Austin,20
US,Raleigh,13
IN,Thiruvananthapuram,39
US,Honolulu,17
US,Milwaukee,38
US,Chicago,33
US,Houston,26
US,Hartford,10
US,Fresno,64
US,The Bronx,19
IN,Chennai,92
US,Los Angeles,46
US,Providence,21
US,Staten Island,15
US,Oakland,46
US,Madison,38
US,Queens,14
US,Nashville,23
IN,Nashik,70
IN,Mumbai,53
US,Charlotte,13
US,Springfield,11
US,Atlanta,28
US,Omaha,21
US,Detroit,28
US,Indianapolis,30
US,Little Rock,25
US,San Jose,50
IN,Jaipur,129
IN,Gandhinagar,136
US,Sacramento,46
US,Brooklyn,15
IN,Visakhapatnam,161
US,Phoenix,48
US,Baltimore,21
US,Dallas,23
IN,Hāpur,334
US,Seattle,51
US,El Paso,30
US,Manhattan,17
IN,Ghāziābād,464
US,Miami,20
IN,Lucknow,275
US,Las Vegas,37
US,San Diego,45
US,Philadelphia,22
US,Saint Paul,30
US,San Antonio,30
IN,Bhopal,115
US,Denver,42
US,Salt Lake City,43
IN,Chandigarh,202
IN,New Delhi,440
IN,Delhi,447
US,Salem,51
US,Albuquerque,25
US,San Francisco,42
US,Tucson,25
IN,Hyderabad,68
US,Fort Worth,43
US,Jacksonville,20
IN,Thrissur,30
US,Tallahassee,24
US,Dallas,13
US,El Paso,18
US,Seattle,26
US,Phoenix,33
US,The Bronx,17
US,Los Angeles,38
US,Oakland,9
US,Charlotte,25
US,Sacramento,9
US,Omaha,17
US,San Jose,13
US,Baltimore,33
US,Little Rock,17
US,Detroit,25
US,Salem,25
US,Nashville,15
US,Madison,15
US,Philadelphia,36
US,San Antonio,13
US,Columbus,23
US,Tallahassee,21
US,Fort Worth,10
US,Brooklyn,20
US,Springfield,14
US,Atlanta,17
US,Tucson,21
US,Manhattan,20
US,Queens,17
US,Providence,17
US,Staten Island,23
IN,Kolkata,180
IN,Lucknow,173
IN,Ghāziābād,193
IN,Bhopal,132
IN,Hāpur,147
IN,Chandigarh,163
US,Oklahoma City,11
US,Boston,30
US,Raleigh,30
US,Jackson,14
US,Portland,23
US,Memphis,14
IN,Hyderabad,153
IN,Bengaluru,51
IN,Nashik,152
IN,Thiruvananthapuram,60
IN,Chennai,49
IN,Thrissur,42
IN,New Delhi,194
IN,Jaipur,119
IN,Delhi,183
IN,Gandhinagar,111
IN,Shillong,162
IN,Mumbai,175
IN,Patna,195
US,Salt Lake City,34
US,Jacksonville,27
US,San Francisco,13
US,Miami,21
US,Albuquerque,18
US,Denver,38
US,Saint Paul,17
US,Austin,9
US,Milwaukee,16
US,Boise,25
US,Washington D.C.,25
US,Hartford,30
US,Indianapolis,15
US,Chicago,22
US,Houston,13
US,Honolulu,17
US,Fresno,33
US,El Paso,13
US,Boston,30
IN,Chandigarh,156
IN,Nashik,121
IN,Thiruvananthapuram,155
US,Phoenix,33
IN,Bengaluru,143
US,Memphis,25
US,Little Rock,34
US,Madison,34
US,Albuquerque,19
US,Seattle,57
US,San Jose,25
US,Tallahassee,26
US,Staten Island,25
IN,Bhopal,163
US,Las Vegas,24
IN,Lucknow,270
US,Sacramento,42
US,Queens,30
US,Oklahoma City,57
US,Detroit,28
US,Miami,17
US,Oakland,38
US,San Diego,35
US,Portland,17
US,Atlanta,35
IN,Hāpur,334
IN,Delhi,307
US,Charlotte,17
IN,Chennai,101
US,Jackson,17
US,Brooklyn,35
US,Raleigh,17
US,Salt Lake City,29
US,Saint Paul,50
US,Providence,17
US,Richmond,25
US,Boise,25
IN,Visakhapatnam,175
IN,Gandhinagar,173
US,Omaha,70
US,Columbus,59
US,Houston,18
US,Fresno,28
US,Hartford,20
IN,Muzaffarnagar,294
IN,Ghāziābād,364
US,Los Angeles,36
US,Baltimore,46
US,San Antonio,22
US,Indianapolis,45
US,Nashville,28
US,Springfield,45
IN,Kolkata,230
US,Philadelphia,34
US,Austin,20
IN,Hyderabad,160
US,Jacksonville,28
US,Denver,34
IN,Mumbai,167
US,San Francisco,38
US,Honolulu,17
US,Chicago,22
IN,New Delhi,288
US,Tucson,25
IN,Patna,261
IN,Jaipur,151
US,Salem,51
US,Dallas,35
US,Columbia,23
US,Washington D.C.,38
US,Fort Worth,28
US,Milwaukee,20
US,Manhattan,33
US,Indianapolis,60
US,Saint Paul,34
US,Charlotte,25
US,Queens,38
IN,Chandigarh,129
US,San Diego,45
US,Salt Lake City,42
IN,Delhi,169
IN,Lucknow,182
IN,Nashik,128
US,Houston,39
IN,Bhopal,185
US,Chicago,49
US,Las Vegas,28
US,Atlanta,23
US,Sacramento,38
US,Jacksonville,27
US,Staten Island,30
US,Washington D.C.,25
IN,New Delhi,161
IN,Mumbai,163
US,San Francisco,25
IN,Ghāziābād,169
US,Providence,30
US,Fort Worth,27
IN,Jaipur,123
IN,Chennai,139
US,Denver,25
US,Albuquerque,33
US,Hartford,27
US,Seattle,61
US,Dallas,32
US,Milwaukee,51
US,Columbia,20
US,Tallahassee,27
US,Los Angeles,30
US,Manhattan,38
US,Boston,42
US,Madison,59
US,Philadelphia,29
US,Baltimore,30
US,Phoenix,28
US,Austin,33
US,Boise,38
US,Honolulu,21
IN,Muzaffarnagar,166
IN,Hāpur,172
US,San Jose,25
US,Memphis,48
IN,Kolkata,301
US,Little Rock,38
IN,Bengaluru,147
US,Nashville,43
US,Portland,14
US,El Paso,25
IN,Hyderabad,162
US,Omaha,42
IN,Gandhinagar,160
US,Springfield,52
US,Brooklyn,38
US,San Antonio,46
IN,Visakhapatnam,189
US,Detroit,49
US,Oakland,25
IN,Patna,268
IN,Thiruvananthapuram,158
US,Columbus,50
US,Oklahoma City,59
US,Richmond,36
US,Tucson,21
US,Salem,25
US,Jackson,38
US,Fresno,43
US,Raleigh,34
US,Miami,32
US,San Francisco,17
US,Detroit,43
US,Salt Lake City,58
US,Salem,28
US,Columbus,70
US,Phoenix,23
US,Springfield,30
IN,Gandhinagar,154
US,Las Vegas,33
IN,Visakhapatnam,155
US,San Diego,33
IN,Bhopal,170
IN,Lucknow,164
IN,New Delhi,178
IN,Bengaluru,126
US,Albuquerque,44
US,Jacksonville,28
US,Los Angeles,25
US,Raleigh,42
IN,Kolkata,252
IN,Chandigarh,122
IN,Delhi,185
US,Oklahoma City,62
US,Omaha,34
US,Memphis,40
IN,Ghāziābād,179
IN,Hyderabad,163
US,El Paso,34
US,Tucson,17
US,San Jose,13
IN,Thiruvananthapuram,157
IN,Mumbai,163
IN,Patna,194
US,Chicago,38
US,Honolulu,17
IN,Jaipur,134
US,Madison,33
US,Seattle,65
US,Miami,50
IN,Chennai,143
US,Sacramento,13
US,Charlotte,33
IN,Nashik,134
US,Little Rock,30
US,Queens,48
US,Staten Island,56
US,Jackson,37
US,Brooklyn,53
US,Tallahassee,35
US,Boston,34
US,Providence,30
US,Oakland,17
US,Portland,22
US,Baltimore,61
US,Saint Paul,34
US,Nashville,43
US,Indianapolis,53
US,Austin,34
US,Washington D.C.,52
US,Richmond,37
US,Atlanta,31
IN,Muzaffarnagar,172
US,San Antonio,53
US,Boise,38
IN,Hāpur,190
US,Houston,53
US,Milwaukee,36
US,Dallas,33
US,Philadelphia,57
US,Denver,25
US,Fort Worth,35
US,Columbia,28
US,Manhattan,54
US,Hartford,40
US,Fresno,24
US,Jackson,45
US,Raleigh,42
IN,Chennai,138
US,Staten Island,57
US,Little Rock,49
US,El Paso,36
IN,Mumbai,164
US,Sacramento,9
IN,Nashik,151
US,Denver,34
US,Albuquerque,56
US,Seattle,60
US,San Jose,21
US,Madison,25
IN,Thiruvananthapuram,159
US,Brooklyn,60
US,Oklahoma City,63
US,Phoenix,39
IN,Bhopal,167
US,Tallahassee,52
IN,Bengaluru,152
US,Memphis,41
US,San Francisco,13
IN,New Delhi,272
US,Columbus,37
US,Portland,33
US,Baltimore,52
US,Richmond,25
US,Charlotte,42
US,Hartford,62
US,Oakland,13
US,Nashville,51
IN,Hāpur,280
US,Los Angeles,20
US,Detroit,25
IN,Jaipur,123
IN,Chandigarh,162
IN,Muzaffarnagar,226
US,Chicago,30
IN,Kolkata,190
US,Queens,53
IN,Lucknow,246
US,Philadelphia,65
US,Boise,50
US,Jacksonville,44
US,Springfield,51
US,Columbia,28
US,Manhattan,52
IN,Gandhinagar,208
US,Houston,45
IN,Ghāziābād,284
US,Dallas,33
US,Tucson,21
US,Austin,31
US,Salt Lake City,61
IN,Delhi,298
US,Honolulu,21
US,Atlanta,51
US,Saint Paul,25
US,San Diego,16
US,Indianapolis,35
US,Miami,36
US,Las Vegas,21
US,Providence,57
US,Washington D.C.,46
US,Boston,53
US,Fresno,15
IN,Patna,262
US,Milwaukee,23
US,San Antonio,48
US,Fort Worth,29
US,Omaha,42
IN,Hyderabad,163
US,Salem,40
US,The Bronx,31
US,Nashville,28
IN,Muzaffarnagar,356
US,Austin,15
US,Tucson,21
IN,Patna,318
IN,Kolkata,239
US,Portland,13
US,Boise,9
US,Philadelphia,23
US,Richmond,24
US,Boston,30
US,Fresno,19
US,Salem,10
US,Baltimore,30
IN,Thiruvananthapuram,153
IN,Jaipur,153
US,Denver,21
US,Little Rock,34
US,Memphis,39
US,Madison,33
IN,Bengaluru,156
US,Fort Worth,23
IN,Ghāziābād,389
US,Miami,30
US,Milwaukee,46
US,Dallas,30
US,Honolulu,13
US,El Paso,33
US,Hartford,16
IN,Hāpur,345
US,Phoenix,30
US,Raleigh,38
US,Jackson,41
US,Columbia,54
US,Manhattan,33
US,San Jose,38
US,Columbus,41
US,Los Angeles,17
IN,Chandigarh,143
US,Sacramento,21
US,Oakland,46
US,Queens,28
IN,Nashik,133
US,Albuquerque,27
US,Staten Island,25
US,Seattle,13
US,Tallahassee,47
US,San Antonio,17
US,Washington D.C.,25
US,Jacksonville,55
US,Chicago,56
US,Las Vegas,14
US,Detroit,32
IN,Bhopal,167
US,Brooklyn,30
IN,Mumbai,169
US,San Francisco,46
US,San Diego,20
IN,New Delhi,378
IN,Lucknow,294
US,Charlotte,38
US,Oklahoma City,43
IN,Delhi,383
US,Salt Lake City,6
US,Atlanta,57
IN,Gandhinagar,179
IN,Visakhapatnam,176
US,Providence,17
IN,Chennai,157
US,Springfield,51
US,Omaha,65
IN,Hyderabad,163
US,Saint Paul,42
US,Indianapolis,48
US,Houston,25
US,Los Angeles,55
US,Columbia,39
US,Denver,34
IN,New Delhi,314
US,San Francisco,46
IN,Mumbai,171
US,Hartford,43
US,Salem,12
US,Chicago,52
US,San Antonio,40
US,Springfield,58
IN,Gandhinagar,158
IN,Visakhapatnam,180
US,Jacksonville,48
IN,Jaipur,157
US,Washington D.C.,38
IN,Muzaffarnagar,243
US,Indianapolis,55
US,Fresno,25
US,Boise,13
IN,Patna,324
US,Philadelphia,61
US,San Diego,24
US,Saint Paul,25
US,Austin,28
IN,Delhi,286
US,Tucson,25
US,Honolulu,13
US,Atlanta,51
US,Salt Lake City,7
